zip_code,city,state,region_id,msa_name,median_home_value,median_rent,days_pending,price_cuts_percent,market_heat,price_to_rent
01945,MARBLEHEAD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01949,MIDDLETON,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01950,NEWBURYPORT,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01951,NEWBURY,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01952,SALISBURY,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01960,PEABODY,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01961,PEABODY,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01965,PRIDES CROSSING,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01966,ROCKPORT,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01969,ROWLEY,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01970,SALEM,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01971,SALEM,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01982,SOUTH HAMILTON,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01983,TOPSFIELD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01984,WENHAM,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
01985,WEST NEWBURY,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02018,ACCORD,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02019,BELLINGHAM,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02020,BRANT ROCK,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02021,CANTON,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02025,COHASSET,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02026,DEDHAM,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02027,DEDHAM,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02030,DOVER,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02032,EAST WALPOLE,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02035,FOXBORO,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02038,FRANKLIN,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02041,GREEN HARBOR,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02043,HINGHAM,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02045,HULL,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
02047,HUMAROCK,MA,394404,"Boston, MA",727900.72,3100.0,34.0,0.2,74.0,19.57
